,100 Bytes,500 Bytes,1000 Bytes,2000 Bytes,3000 Bytes,4000 Bytes,5000 Bytes,6000 Bytes,7000 Bytes
286,7.668,5.82,5.844,6.213,6.609,8.3,8.657,8.639,10.146
287,5.769,6.816,6.722,7.216,6.481,8.236,9.565,9.671,9.091
288,5.728,6.753,6.713,7.224,7.624,9.263,9.563,9.65,9.066
289,6.734,6.842,5.689,7.187,7.658,9.522,9.472,9.252,10.249
290,6.8,5.798,5.937,6.179,7.642,9.525,8.162,8.548,10.075
291,6.766,5.808,5.914,6.191,6.277,8.34,9.161,8.371,10.053
292,5.783,6.81,7.095,7.192,6.625,8.221,9.522,8.405,9.256
293,5.787,6.781,6.87,7.23,6.497,9.275,9.602,9.363,9.147
294,6.777,6.782,6.738,7.218,7.676,9.163,8.617,9.29,10.059
295,6.78,5.793,5.808,6.224,7.661,9.315,8.676,8.317,9.977
296,6.771,5.833,7.732,6.248,6.629,8.121,9.632,8.309,10.186
297,5.73,6.897,6.986,7.292,6.601,8.1,9.647,8.375,9.027
298,5.769,6.883,7.144,7.317,6.603,9.117,9.606,9.505,9.035
299,6.727,6.932,6.864,7.308,7.305,9.116,8.158,9.41,10.059
300,6.78,6.802,5.987,6.25,7.252,9.153,9.095,8.501,10.051
301,6.778,5.877,5.969,6.203,6.241,8.115,9.206,8.404,10.079
302,5.79,6.878,7.036,7.283,6.149,8.544,9.146,8.737,9.175
303,5.767,6.879,6.993,7.236,6.194,9.549,8.091,9.257,9.21
304,7.327,6.883,6.963,7.186,7.217,9.558,8.338,9.272,10.008
305,6.694,5.846,5.979,6.245,7.196,9.314,9.19,8.267,10.198
306,6.719,5.826,6.008,6.202,6.255,8.013,9.16,8.64,10.333
307,5.759,7.608,7.596,6.27,6.483,7.924,9.137,8.568,9.055
308,5.774,6.784,6.995,7.11,6.471,9.033,8.694,9.603,9.049
309,5.687,6.853,7.002,7.311,7.746,9.125,8.633,9.591,10.026
310,6.772,5.808,5.921,6.235,7.516,8.984,9.581,8.517,9.91
311,6.786,5.824,5.886,6.18,7.556,7.996,9.544,8.681,8.892
312,5.779,5.806,7.039,6.234,6.495,7.93,8.201,9.9,8.815
313,5.787,6.828,7.062,7.221,6.488,7.813,8.05,9.685,9.798
314,5.777,6.858,7.067,7.229,7.671,7.89,8.016,8.65,10.236
315,6.788,5.879,5.989,6.258,7.545,9.056,8.995,8.28,8.808
316,6.709,5.881,5.983,6.24,7.237,7.986,9.009,9.27,8.898
317,5.693,5.861,5.962,6.232,6.48,8.144,8.043,9.231,8.8
318,5.682,6.873,7.567,7.296,6.656,8.147,9.092,9.26,9.828
319,5.899,6.937,6.977,7.306,7.734,9.169,9.096,8.555,9.727
320,6.826,5.849,6.026,6.291,7.25,8.989,8.099,8.653,8.79
321,6.852,5.858,5.995,6.283,7.264,8.034,8.053,9.686,8.748
322,5.736,5.947,6.032,6.246,7.613,7.966,7.997,9.673,8.824
323,5.727,6.918,7.021,7.501,6.608,8.03,8.977,9.665,10.093
324,5.806,6.92,7.09,7.288,7.613,9.086,10.041,8.612,10.222
325,6.781,5.962,5.909,8.32,7.671,9.262,8.014,8.632,9.018
326,6.761,5.937,5.661,6.238,7.608,8.309,8.032,9.645,8.935
327,5.765,5.891,5.613,6.215,6.268,8.226,9.046,9.511,10.235
328,5.883,6.909,6.71,9.587,6.598,8.279,9.049,9.165,10.148
329,5.735,6.925,6.7,7.186,7.676,9.29,9.167,8.237,9.183
330,6.72,7.936,5.951,7.16,7.284,9.252,8.206,8.228,9.145
331,6.717,5.91,5.955,6.196,7.667,10.272,8.56,9.253,10.167
332,6.689,5.94,6.001,6.193,6.629,8.263,9.108,9.253,10.266
333,5.653,6.881,6.854,7.198,6.51,8.529,9.161,9.252,10.216
334,5.634,6.911,6.97,7.285,6.638,9.301,9.075,8.489,9.007
